id,vin,vehicleId,model,year,batteryCapacity,ownerID,soc,dateOfConnection ,odometerFloat,UsageAverageDailyKmDriven,MonthlyUsage,condition,status,make,batteryHealthSoH,batteryHealthDegradation,location,soh,BatteryHealthAverageEstimatedDegradation,BatteryHealthAverageSoC,BatteryHealthTotalBatteries,ConnectorType,EndofLife,RealRangeObserved,RemainingUsefulLife,TotalChargingSession,TotalEnergyConsumed,VehicleConditionCritical,VehicleConditionGood,VehicleConditionSatisfactory,VehicleStatusActive,VehicleStatusCharging,VehicleStatusInUse,VehicleStatusOutofService,EPAWLTPProvidedRange,UsageRangeObservedMax,UsageRangeObservedMin,UsageSoCRangeMax,UsageSoCRangeMin,UsageTemperatureHigh,UsageTemperatureLow,batteryChemistry,BatteryHealthAverageSoH,DataPointsCollected,averageMonthlyUsage,ownerId
1,VIN5914AUD,KA03AL3782,ETron,2022,70,2234,70,2023-01-29,4561,"""{128,130,131,125,135,136,138,150,150,152,154,157}""","""{3189,3241,3287,3113,3364,3390,3461,3750,3755,3794,3855,3926}""",Good,Active,Audi,96.1,3.9,"Bangalore,India","""{97.9,96.6,96.5,96.5,96.4,96.4,96.3,96.2,96.2,96.1,96.1,96.1}""","""{2.1,3.4,3.8,4,3.9,3.8,3.7,3.5,3.5,3.3,3.3,3.3}""",66.51,860,Rapid,5+Years,173,5+Years,81,2106kWh,1,4,5,10,3,7,1,210,196,156,100,15,37,24,Lithium-ion,96.44166667,1312,3510.4,1
2,VIN1717TES,KA05AM1248,ETron,2022,87,3254,87,2023-01-29,4328,"""{130,130,128,132,135,139,140,142,142,142,143,148}""","""{3259,3250,3205,3295,3363,3485,3490,3544,3550,3554,3573,3699}""",Good,Charging,Audi,96,4,"Bangalore,India","""{98,97.9,96.7,96.6,96.6,96.6,96.5,96.5,96.4,96.83,96.2,96}""","""{2,2.3,3.9,3.6,3.5,3.4,3.2,3.2,3.2,3.2,3.2,3}""",64.76,860,HomeSlow,5+Years,210,5+Years,78,2028kWh,1,4,5,10,3,7,1,277,227,194,100,12,32,22,Lithium-ion,96.73583333,1403,3438.9,1
3,VIN1976AUD,KA03AL3783,XTPress,2022,35,3654,35,2023-03-30,2700,"""{131,130,131,132,138,140,143,145,146,152,149,151}""","""{3281,3241,3280,3288,3451,3502,3578,3616,3653,3811,3735,3784}""",Good,Inactive,Tata,96,4,"Bangalore,India","""{98,97,96.7,96.6,96.5,96.5,96.4,96.4,96.4,96.3,96.1,96}""","""{2,3,3.3,3.6,3.5,3.4,3.3,3.3,3.3,3.1,3.1,3}""",66.61,860,PublicSlow,5+Years,157,5+Years,61,1586kWh,1,4,5,10,3,7,1,210,176,139,100,27,37,26,Lithium-ion,96.575,1233,3518.3,1
4,VIN9782TAT,KA03AL2098,XTPress,2020,60,4572,60,2023-02-10,86749,"""{132,135,138,138,137,137,138,139,141,142,144,148}""","""{3311,3369,3449,3447,3421,3429,3444,3477,3536,3550,3610,3700}""",Good,Active,Tata,90.7,9.3,"Bangalore,India","""{91.6,90,89.6,89.2,89.2,89.2,89.8,90,90,90,90.2,90.7}""","""{8.4,10,10.4,10.8,10.8,10.8,10.2,10,10,10,9.8,9.3}""",71.19,860,Rapid,5+Years,212,5+Years,130,3380kWh,1,4,5,10,3,7,1,277,222,201,100,15,37,24,Lithium-ion,89.95833333,658,3478.6,1
5,VIN9796TAT,KA03AL2123,XTPress,2020,54,9564,54,2023-01-20,84560,"""{130,128,130,129,138,139,140,147,148,150,151,152}""","""{3248,3211,3240,3227,3456,3486,3502,3673,3696,3748,3776,3800}""",Good,Inactive,Tata,89.2,10.8,"Bangalore,India","""{92.4,91.3,90,89.9,89.7,89.7,89.6,89.4,89.4,89.3,89.3,89.2}""","""{7.6,8.7,10,10.7,10.3,9.8,9.7,9.6,9.6,9.3,9.2,9.2}""",71.4,860,PublicSlow,5+Years,195,5+Years,131,3406kWh,1,4,5,10,3,7,1,210,218,185,100,14,36,25,Lithium-ion,89.93333333,933,3505.3,1
6,VIN2636TES,KA03AL3800,ETron,2020,76,4672,76,2023-01-28,70958,"""{126,127,128,126,134,136,138,138,142,144,145,145}""","""{3151,3171,3190,3161,3346,3407,3442,3451,3553,3594,3624,3630}""",Good,Active,Audi,89,11,"Bangalore,India","""{92.8,91.2,90.2,90.1,89.9,89.8,89.7,89.7,89.5,89.1,89.1,89}""","""{7.2,8.8,10.8,9.9,10.8,10.5,10.3,10.2,10.2,9.9,9.6,9.4}""",63.14,860,PublicSlow,5+Years,196,5+Years,76,1976kWh,1,4,5,10,3,7,1,210,212,175,100,6,35,24,Lithium-ion,90.00833333,1134,3393.3,1
7,VIN5052TES,KA03AL2127,XTPress,2022,24,4456,24,2023-02-02,4320,"""{121,120,122,123,120,125,121,122,116,121,129,121}""","""{3023,3006,3051,3084,3001,3120,3026,3044,2890,3036,3230,3032}""",Satisfactory,Inactive,Tata,95.6,4.4,"Bangalore,India","""{97.6,97.5,97.5,97.4,96.4,96.3,96.3,96,95.9,95.9,95.9,95.6}""","""{2.4,2.5,2.5,2.6,3.2,3.4,3.6,4,4.1,4.1,4.1,4.4}""",70.22,860,PublicSlow,5+Years,201,5+Years,61,1586kWh,1,4,5,10,3,7,1,277,221,188,100,21,32,25,Lithium-ion,96.525,1123,3045.3,1
8,VIN6070TAT,KA03AL3781,XTPress,2022,36,7657,36,2023-01-26,4512,"""{128,127,126,128,126,124,127,124,126,131,129,129}""","""{3201,3185,3156,3190,3158,3112,3172,3088,3143,3267,3232,3221}""",Satisfactory,Inactive,Tata,95.5,4.5,"Bangalore,India","""{97.2,97.1,97.1,97,97,96.5,96.4,96.2,96.1,96.1,95.7,95.5}""","""{2.8,2.9,2.9,3,3,3.5,3.6,3.8,3.9,3.9,4.3,4.5}""",65.12,860,Rapid,5+Years,181,5+Years,72,1872kWh,1,4,5,10,3,7,1,210,202,156,90,8,35,22,Lithium-ion,96.49166667,1429,3177.1,1
9,VIN9823AUD,KA03AL3797,ETron,2019,86,5234,86,2023-01-29,68479,"""{132,128,132,128,128,129,128,124,129,129,130,128}""","""{3291,3206,3295,3200,3207,3227,3212,3102,3230,3234,3257,3205}""",Satisfactory,Charging,Audi,88.3,11.7,"Bangalore,India","""{92.9,92.4,92.4,91.9,91.7,91.5,91.1,89.2,88.7,88.6,88.4,88.3}""","""{7.1,7.6,7.6,8.1,8.3,8.5,8.9,10.8,11.3,11.4,11.6,11.7}""",60.91,860,Rapid,5+Years,213,5+Years,53,1378kWh,1,4,5,10,3,7,1,277,224,201,100,14,35,25,Lithium-ion,90.59166667,1431,3222.2,1
10,VIN4646TES,KA03AL2088,ETron,2019,45,7545,45,2023-01-29,71648,"""{129,128,127,127,129,129,128,122,126,129,126,126}""","""{3221,3188,3171,3163,3221,3213,3188,3055,3162,3220,3159,3153}""",Critical,Active,Audi,87.9,12.1,"Bangalore,India","""{92,91.7,91.5,91,90.7,90.4,90.1,90.1,89.2,89.1,88.1,87.9}""","""{8,8.3,8.5,9,9.3,9.6,9.9,9.9,10.8,10.9,11.2,11.7}""",72.16,860,PublicSlow,5+Years,191,5+Years,63,1638kWh,1,4,5,10,3,7,1,210,201,172,100,31,35,26,Lithium-ion,90.15,641,3176.2,1
